pub_queryscheme
pk_queryscheme,name
1001Z810000000009KWT,本月待审批
1001Z810000000009KWU,当日发生
1001Z81000000000DNIJ,默认方案
1001Z8100000000040CP,快速查询
1001Z810000000009KWV,快速查询
1001Z81000000000DKFH,本周待出库
0001Z8100000000003DL,当日发生
0001Z8100000000003DM,本月未审批
0001Z8100000000003DN,本月待审批
1001Z8100000000054GO,快速查询
1001Z810000000009KWS,本月未审批
