pub_queryscheme
pk_queryscheme,name
0001Z8100000000003DR,本月待审批
0001Z8100000000003DS,本月未审批
1001Z8100000000040CI,快速查询
1001Z81000000000CMH6,本周待出库
0001Z8100000000003DD,本月待审批
0001Z8100000000003DT,当日发生
1009Z8100000000008HT,快速查询
1009Z810000000000EO8,快速查询
0001Z8100000000003D6,当日发生
0001Z8100000000003DE,本月未审批
1001Z810000000004RAZ,快速查询
